-1.005;-0.023;-0.085|0.998;-0.271;3.106|-153.3;-85.3;168.3
-1.005;-0.023;-0.083|0.962;-0.140;3.159|-153.2;-85.3;168.2
-1.005;-0.022;-0.084|0.919;-0.236;3.132|-153.0;-85.3;168.1
-1.005;-0.021;-0.084|0.936;-0.341;3.124|-152.8;-85.3;168.0
-1.005;-0.022;-0.085|0.998;-0.271;3.062|-152.7;-85.3;167.9
-1.006;-0.021;-0.084|0.910;-0.333;3.115|-152.6;-85.3;167.9
-1.007;-0.019;-0.087|0.919;-0.254;3.001|-152.5;-85.3;167.8
-1.006;-0.019;-0.086|0.936;-0.368;3.062|-152.4;-85.3;167.8
-1.006;-0.018;-0.087|0.919;-0.359;3.098|-152.4;-85.2;167.8
-1.006;-0.019;-0.086|0.858;-0.298;3.150|-152.5;-85.2;167.8
-1.005;-0.019;-0.087|0.831;-0.280;3.185|-152.5;-85.2;167.8
-1.006;-0.019;-0.086|0.945;-0.123;3.132|-152.5;-85.2;167.8
-1.006;-0.020;-0.086|0.980;-0.192;3.220|-152.5;-85.2;167.8
-1.006;-0.020;-0.086|0.892;-0.280;3.089|-152.5;-85.2;167.8
-1.006;-0.020;-0.085|0.892;-0.210;3.211|-152.5;-85.2;167.7
-1.005;-0.020;-0.084|1.015;-0.201;3.071|-152.5;-85.2;167.7
-1.006;-0.022;-0.085|0.901;-0.123;3.071|-152.4;-85.2;167.7
-1.005;-0.022;-0.085|0.901;-0.280;3.071|-152.4;-85.2;167.7
-1.007;-0.022;-0.086|0.735;-0.306;3.132|-152.3;-85.2;167.6
-1.007;-0.023;-0.085|0.796;-0.341;3.229|-152.2;-85.2;167.5
-1.007;-0.023;-0.086|0.989;-0.359;3.185|-152.1;-85.2;167.5
-1.006;-0.023;-0.087|0.901;-0.315;3.237|-152.0;-85.2;167.4
-1.008;-0.023;-0.088|0.936;-0.306;3.106|-152.0;-85.2;167.4
-1.007;-0.022;-0.088|0.998;-0.315;2.940|-151.9;-85.2;167.3
-1.006;-0.021;-0.088|0.831;-0.420;3.150|-151.8;-85.2;167.3
-1.005;-0.020;-0.087|0.814;-0.271;3.159|-151.8;-85.1;167.2
-1.006;-0.019;-0.086|0.928;-0.236;3.168|-151.8;-85.1;167.2
-1.006;-0.019;-0.085|1.041;-0.166;3.255|-151.8;-85.1;167.2
-1.006;-0.019;-0.084|0.884;-0.166;3.176|-151.8;-85.1;167.2
-1.005;-0.019;-0.085|0.884;-0.192;3.132|-151.8;-85.1;167.2
-1.005;-0.019;-0.085|0.971;-0.262;2.993|-151.8;-85.1;167.2
-1.005;-0.019;-0.086|1.059;-0.341;3.010|-151.8;-85.1;167.2
-1.005;-0.019;-0.089|0.840;-0.271;3.089|-151.8;-85.1;167.2
-1.005;-0.019;-0.089|0.971;-0.236;3.168|-151.8;-85.1;167.2
-1.006;-0.019;-0.088|1.024;-0.306;3.342|-151.8;-85.1;167.3
-1.007;-0.020;-0.087|0.928;-0.061;3.141|-151.9;-85.1;167.3
-1.006;-0.022;-0.085|1.006;-0.114;3.203|-151.9;-85.1;167.3
-1.006;-0.022;-0.085|0.998;-0.192;3.255|-151.8;-85.1;167.2
-1.006;-0.022;-0.085|0.919;-0.254;3.273|-151.8;-85.1;167.2
-1.005;-0.023;-0.084|0.980;-0.210;3.185|-151.7;-85.1;167.1
