-0.048;-0.030;-0.990|1.024;-0.534;3.185|0.7;-2.9;179.1
-0.050;-0.046;-0.992|0.962;-0.691;3.089|0.7;-2.9;179.0
-0.050;-0.032;-0.993|0.752;-0.674;3.176|0.8;-2.8;179.0
-0.049;-0.032;-0.993|0.998;-0.586;2.922|1.2;-2.9;178.9
-0.048;-0.031;-0.991|1.024;-0.595;3.001|1.3;-2.9;178.9
-0.046;-0.031;-0.991|0.998;-0.577;3.036|1.4;-2.8;178.9
-0.045;-0.046;-0.991|0.928;-0.499;3.080|1.5;-2.8;178.9
-0.046;-0.032;-0.993|0.849;-0.525;3.106|1.4;-2.8;178.8
-0.046;-0.032;-0.994|0.805;-0.438;3.062|1.5;-2.8;178.8
-0.048;-0.033;-0.995|0.788;-0.516;2.993|1.4;-2.8;178.8
-0.049;-0.032;-0.994|0.936;-0.464;3.054|1.4;-2.8;178.7
-0.049;-0.032;-0.990|0.919;-0.639;2.993|1.5;-2.8;178.7
-0.047;-0.031;-0.990|0.840;-0.525;3.054|1.5;-2.8;178.7
-0.047;-0.031;-0.989|0.980;-0.577;3.089|1.6;-2.8;178.7
-0.047;-0.030;-0.989|1.076;-0.551;3.141|1.6;-2.8;178.7
-0.048;-0.030;-0.990|0.884;-0.534;3.089|1.6;-2.8;178.7
-0.049;-0.030;-0.994|0.691;-0.455;3.080|1.6;-2.8;178.6
-0.050;-0.031;-0.994|0.805;-0.595;3.080|1.7;-2.8;178.6
-0.048;-0.030;-0.992|0.858;-0.551;3.062|1.7;-2.8;178.6
-0.048;-0.030;-0.992|0.892;-0.604;3.062|1.8;-2.8;178.6
-0.047;-0.031;-0.991|0.989;-0.656;3.027|1.8;-2.8;178.6
-0.046;-0.030;-0.990|0.822;-0.499;3.124|1.8;-2.8;178.6
-0.047;-0.031;-0.991|0.858;-0.499;3.115|1.8;-2.8;178.6
-0.048;-0.031;-0.993|0.928;-0.613;3.062|1.7;-2.8;178.6
-0.048;-0.031;-0.993|1.085;-0.551;3.124|1.7;-2.8;178.6
-0.049;-0.031;-0.993|0.971;-0.324;3.132|1.8;-2.8;178.6
-0.048;-0.016;-0.994|1.173;-0.507;3.027|1.8;-2.8;178.5
-0.047;-0.031;-0.992|0.936;-0.446;3.010|1.8;-2.8;178.5
-0.048;-0.032;-0.978|0.910;-0.499;3.159|1.8;-2.8;178.6
-0.048;-0.031;-0.988|0.945;-0.683;3.071|1.8;-2.8;178.5
-0.048;-0.031;-0.990|0.735;-0.403;3.098|1.8;-2.8;178.5
-0.049;-0.032;-0.993|0.980;-0.420;3.203|1.8;-2.8;178.5
-0.049;-0.032;-0.992|0.989;-0.490;3.036|1.8;-2.8;178.5
-0.048;-0.031;-0.993|0.892;-0.551;3.010|1.8;-2.8;178.5
-0.048;-0.031;-0.993|0.822;-0.700;3.036|1.9;-2.8;178.5
-0.047;-0.031;-0.991|0.962;-0.516;3.141|1.9;-2.8;178.5
-0.046;-0.030;-0.992|0.884;-0.595;3.185|1.9;-2.8;178.5
-0.047;-0.031;-0.991|0.971;-0.516;3.010|1.9;-2.8;178.5
-0.047;-0.031;-0.993|0.892;-0.586;3.115|1.8;-2.7;178.5
-0.049;-0.031;-0.993|1.015;-0.586;3.246|1.8;-2.7;178.5
-0.049;-0.031;-0.993|0.971;-0.569;3.045|1.8;-2.7;178.5
-0.049;-0.031;-0.991|0.919;-0.569;3.168|1.9;-2.7;178.5
-0.048;-0.031;-0.991|0.779;-0.455;3.010|1.9;-2.7;178.5
-0.048;-0.031;-0.991|0.840;-0.534;3.124|1.9;-2.7;178.5
-0.046;-0.031;-0.992|0.892;-0.438;3.141|1.9;-2.7;178.4
-0.046;-0.030;-0.991|0.831;-0.385;3.185|1.9;-2.7;178.4
-0.047;-0.030;-0.993|0.814;-0.490;3.141|1.9;-2.7;178.4
-0.048;-0.031;-0.994|1.094;-0.586;3.106|1.9;-2.7;178.4
-0.048;-0.031;-0.992|0.875;-0.586;3.194|1.9;-2.7;178.4
-0.048;-0.031;-0.991|0.928;-0.490;3.194|1.9;-2.7;178.4
-0.048;-0.032;-0.991|0.901;-0.569;3.220|1.9;-2.7;178.4
-0.048;-0.032;-0.990|1.041;-0.586;3.115|1.9;-2.7;178.4
-0.047;-0.031;-0.991|0.892;-0.543;3.098|1.9;-2.7;178.4
-0.047;-0.030;-0.992|0.866;-0.613;3.089|1.9;-2.7;178.4
-0.048;-0.030;-0.993|0.831;-0.551;3.159|1.9;-2.7;178.4
-0.048;-0.031;-0.993|0.831;-0.507;3.124|1.9;-2.7;178.4
-0.048;-0.031;-0.992|0.796;-0.551;3.062|1.9;-2.7;178.4
-0.047;-0.031;-0.993|0.884;-0.569;3.351|1.9;-2.7;178.4
-0.048;-0.031;-0.991|0.770;-0.534;3.255|1.9;-2.7;178.4
-0.047;-0.031;-0.991|0.779;-0.586;3.132|1.9;-2.7;178.4
